Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Unit,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023
68,'250,France,89,'01192,Buckwheat,5412,Yield,kg/ha,1231.4,1120.0,1027.0,947.7,1012.7,1075.6,1205.9,1219.6,1213.4,1171.5,1300.7,1301.7,1267.9,1357.0,1294.2,1044.9,1258.7,1334.7,1369.1,1409.7,1384.6,1350.9,1553.6,1571.4,1571.4,1725.0,1714.3,1897.2,1911.2,2433.5,2724.8,2757.9,3117.6,2910.1,2256.0,2011.6,2263.3,2537.7,2443.9,2452.9,2631.6,2944.3,2759.9,3503.7,3394.6,2718.8,3555.9,2865.5,3103.0,3411.9,2957.9,3398.1,3478.7,3697.7,3816.4,2899.7,3518.6,,,,,,
68,'250,France,89,'01192,Buckwheat,5510,Production,t,55660.0,45470.0,46010.0,33550.0,33620.0,30010.0,26650.0,21830.0,20870.0,18510.0,18990.0,15490.0,14200.0,14520.0,13460.0,8150.0,8100.0,9610.0,7804.0,7460.0,7200.0,7700.0,8700.0,7700.0,6600.0,6900.0,7200.0,20300.0,22170.0,22417.0,29700.0,26200.0,31800.0,25900.0,16593.0,15258.0,19383.0,25593.0,25390.0,36934.0,58872.0,80788.0,101729.0,143901.0,124217.0,87000.0,117148.0,98000.0,114500.0,125900.0,91400.0,105000.0,154800.0,111300.0,119530.0,169488.7,263485.0,,,,,,
68,'250,France,886,'22241.01,Butter of cow milk,5510,Production,t,405000.0,405000.0,432000.0,427000.0,475000.0,492000.0,537958.0,575162.0,516000.0,483000.0,475000.0,539000.0,550000.0,543000.0,559000.0,554000.0,558000.0,576000.0,596000.0,618000.0,605000.0,640000.0,650000.0,615000.0,595000.0,645000.0,576000.0,523000.0,518400.0,527400.0,486300.0,451210.0,434204.0,443983.0,452732.0,473200.0,466062.0,462647.0,447569.0,448457.0,448842.0,449783.0,434628.0,415091.0,427000.0,404000.0,411000.0,441000.0,419900.0,411020.0,431330.0,417200.0,400980.0,444130.0,444010.0,434230.0,412720.0,417410.0,419220.0,417540.0,410180.0,412730.0,
68,'250,France,899,'22230.04,"Buttermilk, dry",5510,Production,t,0.0,0.0,0.0,0.0,2345.0,3033.0,4948.0,7900.0,10456.0,11641.0,13359.0,20700.0,23100.0,23600.0,30000.0,33000.0,32000.0,34000.0,39000.0,37000.0,34000.0,32000.0,35000.0,31000.0,30000.0,35000.0,30000.0,27000.0,26000.0,31000.0,25500.0,24580.0,27420.0,32628.0,31000.0,34000.0,30413.0,31000.0,29215.0,31363.0,30117.0,31875.0,31570.0,31000.0,32000.0,30000.0,30000.0,30000.0,27100.0,27040.0,26440.0,27390.0,23150.0,28080.0,29270.0,30330.0,31100.0,29450.0,26220.0,26240.0,28470.0,26750.0,
68,'250,France,358,'01212,Cabbages,5312,Area harvested,ha,24993.0,23836.0,22659.0,21033.0,19695.0,18786.0,18225.0,17833.0,18446.0,17800.0,15700.0,12659.0,12303.0,11481.0,11596.0,11603.0,12368.0,13219.0,12778.0,11453.0,11340.0,11000.0,11000.0,11000.0,11400.0,11000.0,10900.0,10777.0,9000.0,9677.0,8339.0,8384.0,8334.0,8115.0,7666.0,7344.0,6763.0,6637.0,6754.0,6641.0,6525.0,6635.0,6734.0,6732.0,6664.0,6833.0,7461.0,7342.0,7246.0,7310.0,7339.0,7040.0,7141.0,6879.0,6873.0,6838.0,7122.0,6920.0,6700.0,8450.0,7500.0,7520.0,7910.0
68,'250,France,358,'01212,Cabbages,5412,Yield,kg/ha,23875.5,20967.9,23962.7,22217.0,25021.1,25202.8,24685.3,24055.4,23278.8,23346.1,23796.2,25246.9,25205.2,26043.0,23911.8,21480.0,26262.9,24476.1,24712.1,23348.6,23888.9,24572.7,23218.2,23209.1,22649.1,26090.9,25596.3,25445.5,25922.2,23582.1,26614.0,27999.1,29046.4,29356.5,29313.3,30343.3,30797.5,31764.4,32353.6,32513.5,32344.4,32865.3,27203.2,31679.4,30194.4,27734.5,28253.2,30690.3,28552.2,27041.6,29075.0,29173.5,26065.1,28424.5,25380.6,25561.6,26132.7,22423.4,24374.6,24336.1,25329.3,21698.1,22208.6
68,'250,France,358,'01212,Cabbages,5510,Production,t,596720.0,499790.0,542970.0,467290.0,492790.0,473460.0,449890.0,428980.0,429400.0,415560.0,373600.0,319600.0,310100.0,299000.0,277281.0,249233.0,324820.0,323550.0,315771.0,267411.0,270900.0,270300.0,255400.0,255300.0,258200.0,287000.0,279000.0,274226.0,233300.0,228204.0,221933.9,234744.8,242072.6,238228.1,224716.1,222841.4,208283.7,210820.6,218516.0,215922.0,211047.4,218061.3,183186.1,213265.8,201215.2,189510.1,210797.3,225328.1,206889.0,197674.1,213381.5,205381.4,186131.0,195532.0,174441.0,174790.5,186116.9,155170.0,163310.0,205640.0,189970.0,163170.0,175670.0
68,'250,France,568,'01229,Cantaloupes and other melons,5312,Area harvested,ha,13067.0,12588.0,13070.0,12993.0,13640.0,14559.0,14874.0,15023.0,15743.0,17500.0,14550.0,13111.0,13248.0,12837.0,13171.0,14059.0,13975.0,15000.0,16000.0,15486.0,15000.0,15000.0,15000.0,15500.0,15500.0,16800.0,16800.0,16000.0,16433.0,17886.0,18575.0,17971.0,17182.0,17010.0,16405.0,16553.0,15940.0,16322.0,16437.0,16287.0,16245.0,15434.0,15507.0,15027.0,14872.0,14873.0,15804.0,15603.0,15506.0,15637.0,15350.0,15378.0,14501.0,14097.0,14257.0,14170.0,14155.0,13410.0,13120.0,14110.0,13910.0,13420.0,13590.0
68,'250,France,568,'01229,Cantaloupes and other melons,5412,Yield,kg/ha,12514.7,12716.9,11875.3,11231.4,10140.8,10205.4,11278.7,11423.2,11163.1,11056.6,10336.1,11851.1,11839.5,11008.0,11230.0,11577.6,11114.8,12000.0,13250.0,12248.9,14133.3,15586.7,14800.0,15161.3,16380.6,15928.6,16654.8,16500.0,17348.4,17192.8,17124.7,15424.9,16492.1,17820.9,17917.3,17766.5,16534.6,18173.8,18189.3,17975.1,18314.0,18361.3,19238.3,19393.0,19968.7,19754.9,15627.3,17877.2,19424.5,18579.8,18058.1,19130.4,18243.0,17959.5,19464.5,18238.9,20244.7,19023.1,18872.7,20590.4,19460.8,22913.6,23730.7
68,'250,France,568,'01229,Cantaloupes and other melons,5510,Production,t,163530.0,160080.0,155210.0,145930.0,138320.0,148580.0,167760.0,171610.0,175740.0,193490.0,150390.0,155380.0,156850.0,141310.0,147910.0,162770.0,155330.0,180000.0,212000.0,189687.0,212000.0,233800.0,222000.0,235000.0,253900.0,267600.0,279800.0,264000.0,285087.0,307510.0,318090.4,277200.9,283367.8,303133.5,293932.8,294089.2,263561.6,296633.1,298978.2,292759.9,297511.3,283388.0,298328.9,291418.0,296974.0,293815.0,246973.7,278938.0,301195.6,290531.6,277192.0,294187.0,264542.0,253175.0,277505.0,258445.1,286564.0,255100.0,247610.0,290530.0,270700.0,307500.0,322500.0
